'FP1-*SD', 'FP2-*SD', 'F3-*SD', 'F4-*SD', 'C3-*SD', 'C4-*SD', 'P3-*SD', 'P4-*SD', 'O1-*SD', 'O2-*SD', 'F7-*SD', 'F8-*SD', 'T7-*SD', 'T8-*SD', 'P7-*SD', 'P8-*SD', 'FZ-*SD', 'CZ-*SD', 'PZ-*SD'
0.638637,-0.896976,0.970081,1.02586,1.88687,0.567997,1.11937,0.704165,-0.923919,-2.84998,0.506982,0.652307,0.0366711,-0.0462122,0.329581,-0.609225,-0.987346,-0.687171,0.883966
0.227859,-0.684209,0.886302,0.60185,1.82367,0.336115,1.23232,0.716374,-1.05599,-3.13601,0.0702308,0.70363,0.568814,0.576892,0.245139,-1.14911,-0.96381,-0.440597,1.06812
0.442661,-1.2618,1.08922,0.618995,1.80879,0.255539,1.27766,0.642657,-1.01212,-3.08189,-0.100823,0.429912,0.495686,0.90838,0.309415,-1.4349,-0.939158,-0.189957,1.21336
0.541543,-1.25721,1.14152,0.325413,1.58922,0.262759,1.37513,0.837935,-1.17194,-3.06662,0.360341,0.253881,0.238005,0.778621,-0.0860353,-1.21346,-0.668759,-0.000981744,1.43611
-0.0915998,-1.0891,1.13747,-0.278342,1.50815,0.180523,1.1139,0.867312,-1.16492,-3.03312,0.813428,0.287079,0.441488,0.856761,-0.109739,-1.44271,-0.624819,0.0742228,1.45123
-0.418865,-0.636631,1.20608,-0.823375,1.3296,-0.0171424,1.06669,0.824647,-1.2295,-3.08461,0.710263,0.162759,0.978432,0.871094,-0.267852,-1.25409,-0.633191,-0.0681586,1.70736
-0.12368,-0.669152,1.29967,-0.46567,1.50863,0.234212,1.50319,0.874673,-1.26124,-2.7612,1.16608,-0.40972,-0.101108,0.388194,-0.571001,-0.848274,-0.685349,-0.0942119,1.71633
0.00752707,-0.784549,1.07753,-0.509329,1.56406,0.532536,1.82322,0.885317,-1.17364,-2.48502,1.21371,-0.74911,-0.174698,0.338721,-0.957857,-0.700328,-0.645254,-0.0442642,1.64286
0.0208226,-0.465646,1.32425,-0.366247,1.83805,0.661297,1.89393,0.727613,-1.11118,-2.205,1.63659,-0.565861,-1.03295,-0.0883497,-0.979112,-0.602084,-0.769848,-0.103183,1.53288
-0.267816,-0.144416,0.891191,-0.450346,1.78569,0.482829,1.76852,0.732748,-1.13497,-2.07232,1.44036,-0.457461,-0.413419,0.25497,-1.37743,-0.551055,-0.731211,-0.537223,1.70473
